,0,1
0,Spatiologie,758
1,Biologie,682
2,Chimie,515
3,Informatique,501
4,Nucléaire,472
5,Économie et gestion d'entreprise,447
6,Télécommunications,390
7,Sports,348
8,Finance,337
9,Défense,290
10,Pétrole et gaz,250
11,Audiovisuel,249
12,Transports et mobilité,247
13,Environnement,199
14,Télédétection spatiale,171
15,Santé et médecine,165
16,Électronique,155
17,Matériaux,143
18,Automobile,142
19,Aéronautique,140
20,Habitat et construction,131
21,Relations internationales,104
22,Tous domaines,104
23,Communication,102
24,Économie générale,94
25,Astronomie,90
26,Agriculture,89
27,Droit,81
28,Énergie,77
29,Hydraulique,57
30,Sciences de la Terre,50
31,Arts,49
32,Éducation,48
33,Aménagement et urbanisme,45
34,Physique,44
35,Pêche et aquaculture,39
36,Politique,39
37,Formation,37
38,Tourisme,34
39,Édition et livre,29
40,Assurance,26
41,Acoustique,25
42,Habillement et mode,22
43,Emploi et travail,21
44,Industrie,21
45,Recherche,19
46,Activités postales,18
47,Sciences humaines,18
48,Culture,17
49,Marine,16
50,Cycle,15
51,Loisirs,15
52,Aérodynamique,13
53,Alimentation,12
54,Forêt,11
55,Enseignement supérieur,11
56,Statistique,10
57,Social,8
58,Moteur thermique,8
59,Électricité,8
60,Santé animale,7
61,Restauration,6
62,Automatique,6
63,Motocycle,6
64,Métrologie,6
65,Littérature,6
66,Physique de l'atmosphère,4
67,Robotique,4
68,Sciences,4
69,Optique,3
70,Mathématiques,3
71,Météorologie,2
72,Mécanique des fluides,1
73,Électromécanique,1
74,Sciences de la nature,1
